Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance
"****7145",2/10/2026,,"External Deposit EVE HWANG ONLNE TRNSFR88871070 - SENDER",,660.62,Posted,3247.53
"****7145",2/9/2026,,"Withdrawal Internet Transfer to 3580799242",16000.00,,Posted,2586.91
"****7145",2/3/2026,,"Deposit",,373.00,Posted,18586.91
"****7145",2/3/2026,,"External Deposit JARED MOLTON ONLNE TRNSFR88871070 - SENDER",,410.15,Posted,18213.91
"****7145",2/2/2026,,"External Deposit Emma Landsman  - P2P XFR",,366.08,Posted,17803.76
"****7145",2/2/2026,,"External Deposit J ERNAST  - CREDIT",,379.95,Posted,17437.68
"****7145",2/2/2026,,"External Deposit WENLU CHENG ONLNE TRNSFR88871070 - SENDER",,674.64,Posted,17057.73
"****7145",1/31/2026,,"Dividend/Interest",,3.36,Posted,16383.09
"****7145",1/27/2026,,"Withdrawal Reserve Funds",3326.00,,Posted,16379.73
"****7145",1/19/2026,,"Deposit Business Mobile Deposit",,617.85,Posted,19705.73
"****7145",1/9/2026,,"Deposit Business Mobile Deposit",,51.32,Posted,19087.88
"****7145",1/9/2026,,"Withdrawal Internet Transfer to 3580799242",3000.00,,Posted,19036.56
"****7145",1/9/2026,,"Deposit Business Mobile Deposit",,13779.90,Posted,22036.56
"****7145",1/8/2026,,"External Deposit EVE HWANG ONLNE TRNSFR88871070 - SENDER",,430.82,Posted,8256.66
"****7145",1/5/2026,,"External Deposit JARED MOLTON ONLNE TRNSFR88871070 - SENDER",,410.15,Posted,7825.84
"****7145",1/2/2026,,"External Deposit J ERNAST  - CREDIT",,379.95,Posted,7415.69
"****7145",1/2/2026,,"External Deposit WENLU CHENG ONLNE TRNSFR88871070 - SENDER",,674.64,Posted,7035.74
